sentence_id,error_level,cosine_distance,euclidean_distance,original_text,final_text
0,0,0.010080873966217041,0.14199210703372955,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky above,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue skies above
0,10,0.17148691415786743,0.5856395959854126,The quick brown fpx jumps over the lazy dog while the sun shines brihtly in the clear blue sky above,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue skies above
0,20,0.12813955545425415,0.5062402486801147,The quuick brown fox jumps over the lazy dg while the sun shines brightly in thhe clear blue sky above,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue skies above
0,25,0.16571813821792603,0.5757049322128296,Txe quick brown fox jumps over the lzy dog while te sun shines brightly in txe clwar blue sky above,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue skies above
0,30,0.24736160039901733,0.7033656239509583,The quick bown fox jumpps over the lazy dlg whiile the sun shines brightly in the clear ble sxy above,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue skies above
0,40,0.13033568859100342,0.5105599164962769,The quick brown fox jumps oxer te lzy dog while te sun shines brixhtly in the clear blxe sky aove,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue skies above
0,50,0.4095357060432434,0.9050256609916687,Te quick brown fx jumps ovver thhe lay doog while the suun shinds brightly in the cllear blue sky above,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue skies above
1,0,0.002582252025604248,0.07186377048492432,Scientists have recently discovered that machine learning algorithms can significantly improve translation quality when properly trained on diverse datasets,Scientists recently discovered that machine learning algorithms can significantly improve translation quality when they are properly trained on diverse datasets
1,10,0.07122629880905151,0.37742888927459717,Scientists have recently discovered that machine learning algorithms can significantly improve translation quality whhen properly trained on diverse datasets,Scientists have recently discovered that machine learning algorithms can significantly improve translation quality when they are properly trained on diverse datasets
1,20,0.03191697597503662,0.25265389680862427,Scientists hqve recently discovered that machine learning algorithms can significantly improve translation quality when propery trained on diverse datasets,Scientists recently discovered that machine learning algorithms can significantly improve translation quality when they are properly trained on diverse datasets
1,25,0.15868151187896729,0.5633499026298523,Scietists have recently discovered that machine learning alxorithms can significantly improve translation quality when properly txained on diverse datasets,Scientists have recently discovered that machine learning algorithms can significantly improve translation quality when they are properly trained on diverse datasets
1,30,0.41649770736694336,0.9126859307289124,Scientists have recenntly discovered thaat machine learning algorithms cn significanyly improve translatiln quality when properly trained on diverse datasets,The scientists recently discovered that machine learning algorithms can significantly improve translation quality when they are properly trained on diverse datasets
1,40,0.44363272190093994,0.9419476985931396,Scientists have recently discovered that machine learning agorithms cn significantly improvve translayion quality whn proxerly trained on diverse datases,Scientists have recently discovered that machine learning algorithms can significantly improve the quality of translation when they are properly trained on diverse datasets
1,50,0.4380958080291748,0.9360510110855103,Scientsts hve recently discovered that machine learninng algoritms caan significantly improve transllation quuality wen propdrly trained on diverse datasets,The scientists recently discovered that machine learning algorithms can significantly improve the quality of translation when they are properly trained on diverse datasets
2,0,0.016975045204162598,0.18425588309764862,"In the modern world of technology and innovation, artificial intelligence continues to transform how we communicate across different languages and cultures","In the modern world of technology and innovation, artificial intelligence continues to change the way we communicate between different languages and cultures"
2,10,0.09940975904464722,0.44589197635650635,"In the modern woxld of technology and innovation, artificial intelligence continues to transform hw we communicate across different languages and cultures",Artificial intelligence continues to change the way we communicate across different languages and cultures in the modern world of technology and innovation
2,20,0.2189626693725586,0.6617593765258789,"In thhe modern world of technology and innovation, artiicial intelligence continues to transform how we commmunicate across different languages and cultures",Artificial intelligence continues to change the way we communicate between languages and different cultures in the modern world of technology and innovation
2,25,0.12467926740646362,0.49935802817344666,"In the modern world of technology and innoation, artificial intelligence continues to transform how we commuicate axross differebt languages and cultures",Artificial intelligence continues to change the way we communicate between different languages and cultures in the modern world of technology and innovation
2,30,0.3381434679031372,0.8223667144775391,"In the moxern world of technology and innovation, artificcial inteligence continues to transform how we communicate across different languaages and cultuxes","In the modern world of technology and innovation, artificial intelligence continues to change the way we communicate across different languages and cultures"
2,40,0.2953289747238159,0.7685428261756897,"In the modern world of texhnology ad inovation, artificial intelligence continues to transform hoow we communicate aross different langxages and culures",Artificial intelligence continues to change the way we communicate between different languages and cultures in the modern world of technology and innovation
2,50,0.27344030141830444,0.7395138144493103,"In the modern wirld of technoology and innovatio, artifficial intelligence continues to transorm hoow we communicate across different languuages and cultures","In the modern world of technology and innovation, artificial intelligence continues to change the way we communicate between different languages and cultures"
3,0,0.02075868844985962,0.2037581354379654,The ancient library contained thousands of manuscripts written in various languages that scholars spent decades attempting to translate accurately,The ancient library contained thousands of manuscripts written in different languages that researchers spent decades trying to translate accurately
3,10,0.02519768476486206,0.22448953986167908,The ancient library contained thousands of manuscripts written in various languages that scholars sppent decades attempting to translate accurately,The ancient library collection contained thousands of manuscripts written in various languages that researchers spent decades attempting to accurately translate
3,20,0.22268491983413696,0.6673604249954224,The anccient library contained thousands of manuscripts written in various languages that scholars spent deades attepting to translate accurately,"The ancient library collection contained thousands of manuscripts written in various languages, which researchers spent decades trying to translate accurately."
3,25,0.10988724231719971,0.4688011109828949,Te ancient library contained thousands of manuscripts wxitten in various languages that scholars spent decades aftempting to translate accurately,The ancient book collection contained thousands of manuscripts written in various languages that researchers spent decades trying to translate them accurately
3,30,0.23249197006225586,0.6818973422050476,The ancient lirary contained thouusands of manuscripts written in varioxs languages txat scholars spent decades attempting to translate accurately,The ancient book collection contained thousands of manuscripts written in various languages that researchers spent decades trying to translate accurately
3,40,0.21358466148376465,0.6535819172859192,The ancient library contained thousands of manuscripts witten in various langxages tat scholars spnt decdes attempting to translate acurately,The ancient library contained thousands of manuscripts written in different languages that researchers spent decades trying to translate accurately
3,50,0.44822490215301514,0.946810245513916,Thhe anncient library contained thousands of manusscripts writen in various languages thaat sccholars spnt decaxes attempting to translate accurately,The ancient library contained thousands of manuscripts written in different languages that researchers spent decades trying to translate accurately
4,0,0.012769341468811035,0.1598082184791565,"Climate change poses significant challenges for future generations, requiring immediate action from governments and citizens around the world today","Climate change poses significant challenges for future generations, and requires immediate action by governments and citizens around the world today"
4,10,0.04687410593032837,0.30618348717689514,"Climate change poses significant challenges for future generations, requiring immediate action from governments annd citizens around the world today","The challenge of climate change poses significant challenges for future generations, and requires immediate action from governments and citizens around the world today"
4,20,0.31611281633377075,0.7951261401176453,"Climate chqnge poses significant challenges for future generations, requiring immediate action from governments and citizes arlund the world today","Climate change poses significant challenges for future generations, and requires immediate action from governments and citizens around the world today."
4,25,0.4620705246925354,0.9613226056098938,"Clmate change poses significant challenges for future geherations, requiring immediate action from governments and citizens aound txe world today","The climate change challenge presents significant challenges for future generations, which requires immediate action by governments and citizens around the world today."
4,30,0.20307648181915283,0.6373013854026794,"Climate change posses significant challeenges for future generations, reuiring immedoate action fxom governments and citizens around the world today","Climate change poses significant challenges to future generations, requiring immediate action from governments and citizens around the world today."
4,40,0.1978481411933899,0.6290439963340759,"Climate change poses significant challenges for future gnerations, rquiring immediate actiion frlm governments ad citkzens around the world tody","Climate change poses significant challenges for future generations, and requires immediate action from governments and citizens around the world today."
4,50,0.5877892971038818,1.0842410326004028,"Clmate chhange poses significant challenges for futxre generatons, requiriing immediate action froom govvernments annd citixens around the world today","The climate change challenge poses significant challenges for future generations, and requires immediate action from governments and citizens around the world today"
